Teritorija;Suņi;Kaķi;Seski;Kopā
Ādažu nov.;3865;710;4;4579
Aizkraukles nov.;3746;268;14;4028
Alūksnes nov.;1742;161;0;1903
Augšdaugavas nov.;4180;203;1;4384
Balvu nov.;1961;90;0;2051
Bauskas nov.;6214;489;0;6703
Cēsu nov.;5414;498;1;5913
Daugavpils;8368;916;4;9288
Dienvidkurzemes nov.;5405;372;0;5777
Dobeles nov.;3617;280;43;3940
Gulbenes nov.;2624;88;2;2714
Jēkabpils nov.;4758;358;0;5116
Jelgava;5735;981;7;6723
Jelgavas nov.;5436;553;6;5995
Jūrmala;6310;1163;9;7482
Krāslavas nov.;2932;107;0;3039
Kuldīgas nov.;3972;279;3;4254
Ķekavas nov.;5350;884;1;6235
Liepāja;5905;885;5;6795
Limbažu nov.;3290;237;1;3528
Līvānu nov.;1206;130;2;1338
Ludzas nov.;2631;120;0;2751
Madonas nov.;3344;270;0;3614
Mārupes nov.;5741;1157;7;6905
Ogres nov.;8393;1091;16;9500
Olaines nov.;3340;467;0;3807
Preiļu nov.;1823;70;0;1893
Rēzekne;2092;274;1;2367
Rēzeknes nov.;3586;157;0;3743
Rīga;54903;13527;61;68491
Ropažu nov.;6065;973;5;7043
Salaspils nov.;3390;580;0;3970
Saldus nov.;3369;190;9;3568
Saulkrastu nov.;1566;188;0;1754
Siguldas nov.;4379;646;1;5026
Smiltenes nov.;2370;195;2;2567
Talsu nov.;4324;273;6;4603
Tukuma nov.;5723;534;6;6263
Valkas nov.;812;59;0;871
Valmieras nov.;5845;714;3;6562
Varakļānu nov.;380;10;1;391
Ventspils;3349;559;1;3909
Ventspils nov.;1969;130;2;2101
